,subnational1,All Carbon Emissions,All Tree Emissions,Total Area (ha),Inactive,New,Renewed,Revoked,Valid,Agate licenses,Aggregates licenses,Alluminium licenses,Amethyst licenses,Anthracite licenses,Antimony licenses,Apatite licenses,Aplite licenses,Aquamarine licenses,Arsenic licenses,Barite licenses,Basalt licenses,Bauxite licenses,Bentonite licenses,Berthierite licenses,Beryl licenses,Beryllium licenses,Bismuth licenses,Bitumen licenses,Calcite licenses,Carnalite licenses,Cassiterite licenses,Cerium licenses,Chalcopyrite licenses,Chromite licenses,Chromium licenses,Clay licenses,Coal licenses,Cobalt licenses,Columbite licenses,Copper licenses,Corundum licenses,Diamond licenses,Dolomite licenses,Dolorite licenses,Emerald licenses,Feldspar licenses,Fluorite licenses,Fluorspar licenses,Galena licenses,Gemstones licenses,Gold licenses,Granite licenses,Graphite licenses,Gravel licenses,Gypsum licenses,Hematite licenses,Ilmenite licenses,Iron licenses,Iron Ore licenses,Kaolin licenses,Kunzite licenses,Lanthanum licenses,Lapidolite licenses,Laterite licenses,Lead licenses,Lignite licenses,Limestone licenses,Lithium licenses,Lutetium licenses,Manganese licenses,Marble licenses,Mica licenses,Moganite licenses,Molybdenum licenses,Monazite licenses,Morframite licenses,Muscovite licenses,Nickel licenses,Niobium licenses,Oxide licenses,Paladium licenses,Pegmatites licenses,Phosphate licenses,Platinum licenses,Potassium licenses,Pozzolan licenses,Pyrite licenses,Pyrolusite licenses,Quartz licenses,Quartzite licenses,Radioactive Elements licenses,Rubidium licenses,Ruby licenses,Rutile licenses,Sand licenses,Sandstone licenses,Sapphire licenses,Scandium licenses,Scheelite licenses,Serpentine licenses,Shale licenses,Silica licenses,Silicon licenses,Silver licenses,Spodumene licenses,Sulphur licenses,Talc licenses,Tantalite licenses,Tantalum licenses,Tar licenses,Tar Sand licenses,Tin licenses,Tin Ore licenses,Titanium licenses,Topaz licenses,Tourmaline licenses,Tungsten licenses,Uranium licenses,Vanadium licenses,Wolframite licenses,Yttrium licenses,Zinc licenses,Zircon licenses,fatalities,disorder_Demonstrations_x,disorder_Political violence_x,disorder_Political violence; Demonstrations_x,disorder_Strategic developments_x,event_Battles_x,event_Explosions/Remote violence_x,event_Protests_x,event_Riots_x,event_Strategic developments_x,event_Violence against civilians_x,govt_2011,govt_2013,govt_2014,govt_2015,govt_2016,govt_2017,govt_2018,govt_2019,govt_2020
19,Kwara,19353,10696,396386,0,67,0,11,195,0,1,0,0,0,0,0,0,11,0,1,0,0,0,0,17,0,0,0,0,0,10,0,0,0,0,1,0,0,31,4,0,0,0,0,0,2,0,0,0,7,53,4,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,6,0,2,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,9,12,0,0,32,1,0,8,30,0,0,0,3,0,2,0,75,79.0,62.0,2.0,4.0,30.0,0.0,74.0,22.0,4.0,17.0,1468260,0,2282570.27,4395076.0,54148756.44,250000.0,7205250.0,12116513,10928523.15
20,Lagos,3828,1292,73510,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,342.0,189.0,8.0,9.0,70.0,1.0,303.0,96.0,9.0,69.0,45887900,28219168,3942844.59,25462028.95,81490884.45,3000000.0,20327972.0,35402183,43185210.89
21,Niger,5096,3896,2968911,0,243,8,47,516,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,34,2,3,0,0,0,11,0,1,0,0,2,0,2,29,77,0,8,0,0,2,4,0,0,6,6,211,5,0,6,0,0,2,6,14,1,0,0,0,0,79,0,5,6,0,34,2,4,0,0,0,1,3,0,3,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,11,0,5,0,4,0,0,0,0,22,0,0,17,7,11,0,0,18,0,2,7,51,1,0,0,16,0,50,0,538,29.0,209.0,0.0,6.0,51.0,5.0,20.0,27.0,6.0,135.0,948577,0,9763825.5,7311834.5,72055676.18,1110000.0,9963529.5,24915362,34250378.72
22,Ogun,0,0,6979,0,79,11,7,223,0,1,0,5,0,0,0,0,3,0,0,1,0,0,0,12,5,0,6,0,0,1,0,0,0,0,23,3,0,1,0,0,0,1,0,0,18,0,0,0,3,11,16,0,0,16,0,0,1,0,13,0,0,0,30,2,0,39,10,0,0,1,14,0,0,0,0,0,0,0,0,2,0,2,2,1,0,0,0,8,0,0,0,0,0,19,1,0,0,0,0,22,0,0,0,0,0,0,0,1,5,0,1,0,0,1,17,0,0,0,0,0,2,0,132,105.0,65.0,3.0,3.0,18.0,1.0,88.0,33.0,3.0,33.0,99029169,281485223,313250590.6,415688410.3,56514869.67,377000000.2,487735856.3,649063073,609603416.2
23,Oyo,96424,17916,1454390,0,82,22,18,332,3,3,0,9,0,0,0,0,25,0,0,3,0,0,0,49,0,2,0,0,0,26,0,1,0,0,8,1,0,38,1,0,0,1,0,11,16,0,0,1,11,24,26,0,0,0,0,0,1,11,6,1,0,0,4,0,0,3,1,0,0,6,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,3,0,0,0,3,0,0,0,5,0,0,12,10,0,0,22,0,0,3,87,0,0,0,0,0,0,0,69,77.0,86.0,3.0,3.0,24.0,0.0,69.0,33.0,3.0,40.0,29078860,49321676,28048465.4,56073761.09,68228072.43,92000000.86,68297568.4,124185385,116506732.4
24,Plateau,1319,2641,1987027,0,274,12,68,867,0,0,0,1,0,0,0,0,10,0,10,2,2,0,1,2,2,1,0,0,0,72,0,0,0,0,0,0,1,170,91,0,0,0,0,2,0,1,0,2,0,14,5,0,1,0,0,11,7,13,1,1,0,0,2,236,0,0,3,0,3,0,2,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,16,0,2,0,0,0,0,0,0,3,1,3,0,9,18,0,0,160,3,0,46,15,0,0,0,7,0,227,27,4897,121.0,591.0,3.0,21.0,120.0,28.0,77.0,73.0,21.0,417.0,5486473,21240000,56738901.6,6147221.88,63522583.81,48530000.0,53583984.5,56638673,75615319.88
25,Rivers,59666,5319,218245,0,2,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,463,204.0,332.0,3.0,26.0,120.0,12.0,167.0,53.0,26.0,187.0,2461765,4084527,1610608.25,4604500.0,65603798.15,400000.0,1963611.34,1592479,56931268.11
26,Sokoto,0,0,2775063,29,27,0,12,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,20,0,0,0,0,0,0,0,0,0,0,21,0,0,0,23,0,0,15,12,2,0,0,0,4,5,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,457,16.0,95.0,1.0,2.0,31.0,2.0,14.0,8.0,2.0,57.0,24135673,18713525,22996841.69,17277180.0,67041126.02,21260000.0,36123507.3,72446835,59506123.16
27,Taraba,1968,5698,1324961,0,131,6,38,413,0,0,0,16,0,0,0,0,9,0,26,0,0,2,0,10,1,0,0,0,0,4,0,0,0,0,0,0,0,16,48,4,0,3,0,2,0,9,4,0,9,25,2,9,0,1,0,0,4,4,0,0,0,0,0,131,0,0,5,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,16,0,0,0,1,0,2,0,30,0,0,0,0,0,0,18,0,0,0,6,3,0,0,16,0,0,0,16,0,0,0,1,1,124,1,1663,34.0,346.0,0.0,13.0,90.0,3.0,23.0,28.0,13.0,236.0,5776175,524706,14154266.95,2641325.0,58596745.18,0.0,3142395.75,4649067,12251857.48
28,Yobe,0,0,1977197,0,2,4,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,6,0,0,1,1,0,0,0,0,2,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2393,18.0,305.0,0.0,18.0,159.0,58.0,14.0,6.0,18.0,86.0,1334260,0,0.0,200000.0,60405722.25,0.0,826499.78,4519040,7631016.41
29,Zamfara,0,0,2676027,0,40,0,16,134,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,10,3,0,0,0,0,0,22,0,0,0,0,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,14,0,2700,14.0,352.0,0.0,10.0,133.0,50.0,10.0,12.0,10.0,161.0,2968045,3813692,9003624.18,7132727.69,60534368.8,7660000.0,24319918.69,27920173,11512808.25
